,PMODE,TOTTR_R,INCOM_R,HHVEH_R,DNYC,HHSIZE,TRPDUR,TRPDIST_HN
483,19,1,4,3,0,2,15,4.32
484,19,1,4,3,0,2,15,4.32
485,19,2,4,2,0,3,17,13.72
486,19,2,4,2,0,3,6,3.07
487,19,2,4,2,0,3,14,11.72
488,19,1,4,2,0,3,31,20.7
489,19,1,4,2,0,3,38,20.44
490,6,1,4,2,1,2,106,0.0
491,19,1,4,2,0,2,30,9.83
492,19,1,4,2,0,2,30,10.22
493,19,2,4,2,0,2,15,5.92
494,19,2,4,2,0,2,15,5.95
495,17,2,4,2,0,2,15,5.92
496,17,2,4,2,0,2,15,5.95
497,6,1,4,1,1,1,95,28.39
498,19,1,4,1,0,1,60,35.08
499,19,1,4,1,0,1,60,35.37
500,19,1,3,2,0,3,20,7.58
501,19,1,3,2,0,3,25,7.62
502,19,1,4,2,0,4,30,19.99
503,19,1,4,2,0,4,30,20.73
504,19,2,4,2,0,2,8,3.16
505,19,1,4,2,0,2,36,29.97
506,19,1,4,2,0,2,21,8.4
507,19,1,4,2,0,2,9,3.62
508,19,1,4,2,0,2,46,15.69
509,6,2,4,2,1,2,94,28.34
510,17,2,4,2,0,2,5,1.75
511,19,2,4,2,0,2,6,1.75
512,19,1,4,2,0,2,17,3.98
513,19,1,4,2,0,2,16,6.81
514,19,1,2,1,0,1,5,4.12
515,19,1,2,1,0,1,22,14.16
516,19,1,2,1,0,1,38,18.02
517,19,1,2,1,0,1,3,0.47
518,19,1,2,1,0,1,5,0.85
519,6,1,4,2,1,4,129,61.15
520,19,1,2,1,0,1,21,10.0
521,19,1,2,1,0,1,34,10.0
522,19,1,4,3,0,4,12,2.31
523,19,1,4,3,0,4,17,2.31
524,19,1,4,1,0,1,25,17.56
525,19,1,4,1,0,1,15,0.0
526,19,1,4,1,0,1,20,0.0
527,19,1,4,1,0,1,10,1.28
528,19,1,4,1,0,1,20,17.95
529,6,1,4,2,1,2,122,58.06
530,19,1,4,3,0,3,22,16.11
531,19,1,4,3,0,3,30,14.79
532,19,1,4,3,0,3,64,29.16
533,19,1,9,2,0,4,20,12.87
534,19,1,9,2,0,4,17,13.52
535,19,1,9,2,0,4,21,5.82
536,19,2,9,2,0,4,3,2.23
537,19,1,9,2,0,4,3,2.23
538,19,1,9,2,0,4,20,5.88
539,6,1,4,3,1,4,104,59.04
540,19,1,4,3,0,4,2,4.79
541,17,2,4,3,0,4,12,1.67
542,17,2,4,3,0,4,8,3.41
543,17,2,4,3,0,4,4,3.47
544,6,1,4,2,1,3,94,28.4
545,19,1,4,3,0,3,175,0.0
546,19,1,4,2,0,2,26,14.31
547,19,1,4,2,0,2,19,14.84
548,19,1,4,2,0,2,6,2.77
549,19,1,4,2,0,2,42,27.8
550,23,1,4,2,0,2,56,1.05
551,19,1,4,2,0,2,52,28.34
552,19,1,9,2,0,2,15,4.22
553,19,1,9,2,0,2,80,5.3
554,19,1,2,2,0,2,30,5.43
555,19,1,2,2,0,2,30,5.43
556,19,1,4,2,0,2,45,25.21
557,19,1,4,2,0,2,40,25.54
558,19,1,4,2,0,2,44,28.4
559,19,1,4,2,0,2,34,28.35
560,6,1,4,3,1,3,230,0.0
561,19,1,4,3,0,3,150,38.82
562,6,1,4,3,1,3,90,24.85
563,6,2,4,2,1,2,108,53.67
564,6,2,4,2,1,2,100,53.05
565,19,1,2,1,1,1,45,13.15
566,6,1,4,3,1,4,85,0.0
567,19,1,1,1,0,2,19,2.33
568,19,1,1,1,0,2,5,1.5
569,19,1,1,1,0,2,20,1.5
570,19,1,1,1,0,2,15,0.55
571,19,1,1,1,0,2,10,1.5
572,19,2,1,1,0,2,25,0.95
573,6,1,2,1,1,2,126,0.0
574,19,1,4,2,0,2,16,1.3
575,19,1,2,1,0,2,21,0.0
576,19,1,2,1,0,2,38,0.0
577,19,1,2,2,0,4,25,7.9
578,19,1,2,2,0,4,40,9.09
579,19,1,2,2,0,4,5,1.75
580,6,1,9,1,1,1,95,37.01
581,19,1,9,2,0,1,20,10.01
582,19,2,9,2,0,1,30,15.21
583,19,1,9,2,0,1,30,14.94
584,19,1,9,2,0,1,20,10.11
585,19,1,2,3,0,3,61,0.5
586,19,1,2,3,0,3,7,2.64
587,19,1,2,3,0,3,8,4.04
588,19,1,2,3,0,3,11,4.04
589,19,1,2,3,0,3,7,2.63
590,19,1,2,3,0,3,20,10.54
591,19,1,2,3,0,3,24,9.16
592,19,1,2,3,0,3,28,5.3
593,19,1,4,3,0,3,30,12.99
594,19,1,4,3,0,3,30,11.93
595,19,1,2,1,0,2,8,1.2
596,19,1,2,1,0,2,24,4.12
597,19,1,2,1,0,2,16,4.79
598,6,1,2,1,1,2,135,26.44
599,19,1,4,3,0,2,45,9.12
600,19,1,4,3,0,2,65,9.35
601,19,1,4,2,0,2,38,18.92
602,19,1,4,2,0,2,33,18.68
603,19,1,3,2,0,1,3,1.18
604,19,1,3,2,0,1,7,0.58
605,19,1,3,2,0,1,4,0.58
606,19,1,3,2,0,1,11,1.18
607,19,1,4,3,0,5,60,35.24
608,19,1,4,3,0,5,60,35.99
609,17,2,4,3,0,5,60,28.6
610,17,2,4,3,0,5,70,27.71
611,19,1,4,3,0,5,32,21.35
612,19,1,4,3,0,5,39,21.31
613,19,2,4,3,0,5,7,1.7
614,19,1,4,3,0,5,12,4.0
615,19,1,4,3,0,5,13,3.2
616,6,1,3,3,1,6,74,40.88
617,19,1,3,3,0,6,10,5.2
618,19,1,3,3,0,6,8,3.49
619,19,1,3,3,0,6,10,1.88
620,17,2,3,3,0,6,13,2.34
621,17,2,3,3,0,6,10,2.34
622,19,1,2,1,0,1,30,14.19
623,19,1,2,1,0,1,25,14.73
624,19,1,2,1,0,1,7,0.58
625,19,1,3,2,0,1,85,66.46
626,19,1,3,2,0,1,20,5.88
627,19,1,3,2,0,1,70,62.67
628,19,1,4,3,0,3,20,0.0
629,19,1,4,3,0,3,25,0.0
630,19,1,4,2,1,2,11,4.68
631,19,1,2,2,0,3,16,15.77
632,17,2,2,2,0,3,91,17.39
633,17,2,2,2,0,3,12,2.49
634,17,2,2,2,0,3,93,18.64
635,17,2,2,2,0,3,52,3.79
636,19,1,2,2,0,3,22,19.11
637,19,1,1,1,0,3,30,10.09
638,19,1,1,1,0,3,30,5.01
639,19,1,1,1,0,3,30,6.96
640,19,1,1,1,0,3,15,0.83
641,19,1,2,2,0,2,11,5.61
642,19,1,2,2,0,2,376,0.94
643,19,1,2,2,0,2,15,5.61
644,19,1,4,3,0,3,26,8.15
645,19,1,4,3,0,3,18,6.29
646,19,1,4,3,0,3,13,3.67
647,19,1,3,2,1,4,45,11.81
648,19,1,2,1,0,1,3,0.38
649,19,1,2,1,0,1,20,7.95
650,19,1,2,1,0,1,4,2.28
651,19,1,2,1,0,1,20,7.35
652,19,1,9,3,0,2,8,2.91
653,19,2,9,3,0,2,5,1.6
654,19,2,9,3,0,2,15,2.91
655,19,1,9,3,0,2,29,5.75
656,19,1,9,3,0,2,30,6.55
657,17,2,2,3,0,4,10,2.42
658,19,1,2,3,0,4,18,12.55
659,19,1,2,3,0,4,30,12.06
660,17,2,2,3,1,4,90,28.42
661,17,2,2,3,0,4,5,2.42
662,19,2,2,3,0,4,10,2.42
663,19,2,2,3,1,4,90,28.42
664,19,2,2,3,0,4,5,2.42
665,19,1,4,2,0,4,7,2.01
666,19,1,4,2,0,4,10,2.01
667,19,2,4,2,0,4,5,2.01
668,19,1,4,2,0,4,54,25.94
669,19,1,4,2,0,4,60,22.17
670,19,1,4,2,0,4,17,0.0
671,19,1,4,2,0,4,5,0.77
672,19,1,4,2,0,4,18,0.0
673,6,1,4,2,1,3,120,0.0
674,19,2,4,2,0,4,30,5.69
675,19,1,4,2,1,4,5,2.1
676,19,2,4,2,0,4,35,5.82
677,19,2,4,2,0,4,10,2.23
678,19,1,4,2,0,4,25,8.81
679,19,1,4,2,0,4,30,6.47
680,6,1,9,2,1,2,80,0.0
681,19,1,2,1,0,1,20,6.27
682,19,1,2,1,0,1,5,0.8
683,19,1,2,1,0,1,30,6.24
684,19,1,4,2,0,3,69,33.29
685,19,1,4,2,0,3,55,32.99
686,19,2,4,2,0,3,9,1.4
687,19,2,4,2,0,3,2,1.4
688,19,1,4,2,1,3,40,39.58
689,19,1,2,2,0,2,7,1.11
690,19,1,2,2,0,2,24,0.0
691,19,1,2,2,0,2,23,0.0
692,19,1,2,1,0,1,30,8.09
693,19,1,2,1,0,1,23,13.38
694,19,1,2,1,0,1,24,0.0
695,19,1,2,1,0,1,19,0.0
696,19,1,2,1,0,1,35,14.47
697,17,2,9,0,0,1,20,2.64
698,17,2,9,0,0,1,25,2.55
699,19,2,2,1,0,1,30,22.84
700,19,2,2,1,0,1,30,23.14
701,6,2,3,1,1,5,115,44.24
702,19,1,3,1,0,5,20,4.35
703,19,1,3,1,0,5,19,3.38
704,19,2,3,1,0,5,15,3.03
705,19,1,9,2,0,1,15,3.91
706,19,1,9,2,0,1,20,5.07
707,19,1,9,2,0,1,5,1.41
708,19,1,9,2,0,1,20,7.36
709,19,1,4,3,0,2,15,3.76
710,19,1,4,3,0,2,20,3.9
711,19,1,4,3,0,2,20,4.49
712,19,1,4,3,0,2,20,4.56
713,19,1,4,3,0,2,15,2.4
714,19,1,4,3,0,2,15,2.5
715,19,1,4,3,0,2,15,2.51
716,19,1,4,3,0,2,15,1.69
717,19,1,3,1,1,1,70,28.71
718,19,2,4,3,0,3,14,2.79
719,19,1,4,3,0,3,11,3.68
720,19,1,4,3,0,3,3,1.14
721,19,1,4,3,1,3,50,3.95
722,19,1,4,3,0,3,5,0.78
723,6,1,4,3,1,3,75,0.0
724,19,1,3,2,0,6,77,32.8
725,19,1,3,2,0,6,57,33.74
726,6,1,3,2,1,3,119,39.96
727,6,1,4,2,1,3,110,28.89
728,19,1,4,2,0,3,15,2.37
729,6,1,4,2,1,2,100,58.62
730,19,1,3,2,0,2,26,15.15
731,19,1,3,2,0,2,51,14.56
732,19,2,3,1,1,2,4,1.32
733,19,1,4,3,0,4,60,32.26
734,19,1,4,3,0,4,60,31.93
735,17,3,4,1,0,5,7,1.63
736,17,1,4,1,0,5,15,1.63
737,19,1,2,1,0,1,24,10.65
738,19,1,2,1,0,1,21,10.78
739,19,1,4,2,0,2,23,9.25
740,19,1,4,2,0,2,18,7.84
741,19,1,4,2,0,2,7,2.08
742,19,1,4,2,0,2,9,2.08
743,19,1,4,2,0,2,5,8.77
744,19,1,4,2,0,2,5,8.77
745,19,1,4,2,0,2,7,2.72
