,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,DTPURP,DTPURP2,LTMODE_AGG,TOTTR,TRPDUR,TRPDIST_HN,OZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
80303,80303,35288200305,3528820,3,5,0,5,0,8,0,2.1,2,20,8.22,11777,0,2,1,19,11,,1,1,1,1,4,4,2,3,4.0,5.0,4,3
80304,80304,35288200306,3528820,3,6,0,5,1,3,0,2.1,2,5,2.63,11764,0,2,1,19,11,,1,1,1,2,4,4,2,1,1.0,2.0,4,3
80305,80305,35288200402,3528820,4,2,1,5,0,9,10,1.0,1,45,42.75,11778,0,2,1,19,11,,1,1,1,1,1,1,1,4,6.0,6.0,4,3
80306,80306,35288200403,3528820,4,3,0,5,0,27,0,1.0,1,60,41.16,11968,0,2,1,19,11,,1,1,1,1,3,3,1,4,6.0,6.0,4,3
80307,80307,35288200404,3528820,4,4,0,5,1,3,0,1.0,1,5,2.63,11778,0,2,1,19,11,,1,1,1,2,4,4,1,1,1.0,2.0,4,3
80325,80325,35288900102,3528890,1,2,1,3,0,9,10,1.0,1,45,10.61,11789,0,2,1,19,11,,1,1,1,1,1,1,1,4,4.0,5.0,4,3
80326,80326,35288900103,3528890,1,3,0,3,0,16,0,1.0,1,30,10.24,11733,0,2,1,19,11,,1,1,1,1,3,3,1,3,4.0,5.0,4,3
80327,80327,35288900104,3528890,1,4,0,3,1,3,0,1.0,1,25,3.02,11764,0,2,1,19,11,,1,1,1,2,3,3,1,3,3.0,4.0,4,3
80328,80328,35288900202,3528890,2,2,1,3,0,9,10,1.0,1,45,15.77,11789,0,2,1,19,11,,1,1,1,1,1,1,1,4,5.0,6.0,4,3
80329,80329,35288900203,3528890,2,3,0,3,1,3,0,1.0,1,45,15.74,11722,0,2,1,19,11,,1,1,1,1,3,3,1,4,5.0,6.0,4,3
80351,80351,35290770102,3529077,1,2,1,3,0,9,0,7.2,2,85,31.12,11743,1,2,1,6,3,3.0,2,2,2,1,2,2,2,4,6.0,6.0,1,2
80378,80378,35293790102,3529379,1,2,1,3,0,5,0,2.1,2,40,18.09,11798,0,2,1,19,11,,1,1,1,2,1,1,2,3,5.0,6.0,4,2
80379,80379,35293790103,3529379,1,3,0,3,0,9,0,1.0,1,40,12.36,11552,1,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,4,2
80381,80381,35293790105,3529379,1,5,0,3,0,6,0,1.0,1,15,3.24,11550,0,2,1,19,11,,1,1,1,2,3,3,1,2,2.0,3.0,4,2
80382,80382,35293790106,3529379,1,6,0,3,0,8,0,2.1,2,40,20.0,11552,0,2,1,19,11,,1,1,1,2,3,3,2,3,5.0,6.0,4,2
80383,80383,35293790107,3529379,1,7,0,3,1,3,0,2.1,2,15,1.84,11729,0,2,1,19,11,,1,1,1,2,3,3,2,2,2.0,3.0,4,2
80384,80384,35293790202,3529379,2,2,1,3,0,9,0,1.0,1,10,2.5,11798,0,2,1,19,11,,1,1,1,1,1,1,1,2,2.0,3.0,4,2
80385,80385,35293790203,3529379,2,3,0,3,1,3,0,1.0,1,10,2.58,11703,0,2,1,19,11,,1,1,1,1,2,2,1,2,2.0,3.0,4,2
80386,80386,35293790204,3529379,2,4,1,3,0,9,0,7.1,1,125,38.18,11798,1,2,1,6,3,2.0,2,2,2,1,2,2,1,5,6.0,6.0,4,2
80391,80391,35294060102,3529406,1,2,1,1,0,9,0,1.0,1,115,19.72,11713,0,2,1,19,11,,1,1,1,1,1,1,1,5,5.0,6.0,3,1
80392,80392,35294060103,3529406,1,3,0,1,1,3,2,1.0,1,45,21.7,11788,0,2,1,19,11,,1,1,1,1,2,2,1,4,5.0,6.0,3,1
80393,80393,35294170102,3529417,1,2,1,2,0,9,0,1.0,1,35,11.69,11720,0,2,1,19,11,,1,1,1,1,1,1,1,3,4.0,5.0,4,2
80394,80394,35294170103,3529417,1,3,0,2,1,1,3,1.0,1,40,11.76,11788,0,2,1,19,11,,1,1,1,1,3,3,1,3,4.0,5.0,4,2
80456,80456,35295160202,3529516,2,2,1,4,0,9,0,1.0,1,15,5.67,11767,0,2,1,19,11,,1,1,1,1,1,1,1,2,3.0,4.0,4,2
80457,80457,35295160203,3529516,2,3,0,4,1,3,0,1.0,1,15,5.67,11779,0,2,1,19,11,,1,1,1,1,3,3,1,2,3.0,4.0,4,2
80480,80480,35295430202,3529543,2,2,1,5,0,9,0,10.0,2,125,38.7,11757,1,2,1,5,2,,4,1,1,1,1,1,2,5,6.0,6.0,4,3
