,PMODE,TOTTR_R,INCOM_R,HHVEH_R,DNYC,HHSIZE,TRPDUR,TRPDIST_HN
577,19,1,2,1,0,2,21,0.0
578,19,1,2,1,0,2,38,0.0
579,19,1,2,2,0,4,25,7.9
580,19,1,2,2,0,4,40,9.09
581,19,1,2,2,0,4,5,1.75
582,6,1,9,1,1,1,95,37.01
583,19,1,9,2,0,1,20,10.01
584,19,2,9,2,0,1,30,15.21
585,19,1,9,2,0,1,30,14.94
586,19,1,9,2,0,1,20,10.11
587,19,1,2,3,0,3,61,0.5
588,19,1,2,3,0,3,7,2.64
589,19,1,2,3,0,3,8,4.04
590,19,1,2,3,0,3,11,4.04
591,19,1,2,3,0,3,7,2.63
592,19,1,2,3,0,3,20,10.54
593,19,1,2,3,0,3,24,9.16
594,19,1,2,3,0,3,28,5.3
595,19,1,4,3,0,3,30,12.99
596,19,1,4,3,0,3,30,11.93
597,19,1,2,1,0,2,8,1.2
598,19,1,2,1,0,2,24,4.12
599,19,1,2,1,0,2,16,4.79
600,6,1,2,1,1,2,135,26.44
601,19,1,4,3,0,2,45,9.12
602,19,1,4,3,0,2,65,9.35
603,19,1,4,2,0,2,38,18.92
604,19,1,4,2,0,2,33,18.68
605,19,1,3,2,0,1,3,1.18
606,19,1,3,2,0,1,7,0.58
607,19,1,3,2,0,1,4,0.58
608,19,1,3,2,0,1,11,1.18
609,19,1,4,3,0,5,60,35.24
610,19,1,4,3,0,5,60,35.99
611,17,2,4,3,0,5,60,28.6
612,17,2,4,3,0,5,70,27.71
613,19,1,4,3,0,5,32,21.35
614,19,1,4,3,0,5,39,21.31
615,19,2,4,3,0,5,7,1.7
616,19,1,4,3,0,5,12,4.0
617,19,1,4,3,0,5,13,3.2
618,6,1,3,3,1,6,74,40.88
619,19,1,3,3,0,6,10,5.2
620,19,1,3,3,0,6,8,3.49
621,19,1,3,3,0,6,10,1.88
622,17,2,3,3,0,6,13,2.34
623,17,2,3,3,0,6,10,2.34
624,19,1,2,1,0,1,30,14.19
625,19,1,2,1,0,1,25,14.73
626,19,1,2,1,0,1,7,0.58
627,19,1,3,2,0,1,85,66.46
628,19,1,3,2,0,1,20,5.88
629,19,1,3,2,0,1,70,62.67
630,19,1,4,3,0,3,20,0.0
631,19,1,4,3,0,3,25,0.0
632,19,1,4,2,1,2,11,4.68
633,19,1,2,2,0,3,16,15.77
634,17,2,2,2,0,3,91,17.39
635,17,2,2,2,0,3,12,2.49
636,17,2,2,2,0,3,93,18.64
637,17,2,2,2,0,3,52,3.79
638,19,1,2,2,0,3,22,19.11
639,19,1,1,1,0,3,30,10.09
640,19,1,1,1,0,3,30,5.01
641,19,1,1,1,0,3,30,6.96
642,19,1,1,1,0,3,15,0.83
643,19,1,2,2,0,2,11,5.61
644,19,1,2,2,0,2,376,0.94
645,19,1,2,2,0,2,15,5.61
646,19,1,4,3,0,3,26,8.15
647,19,1,4,3,0,3,18,6.29
648,19,1,4,3,0,3,13,3.67
649,19,1,3,2,1,4,45,11.81
650,19,1,2,1,0,1,3,0.38
651,19,1,2,1,0,1,20,7.95
652,19,1,2,1,0,1,4,2.28
