,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,OTPURP,DTPURP,OTPURP_AGG,DTPURP_AGG,DTPURP2,LTMODE_AGG,MODE_SAMP,TOTTR,TRPDUR,TRPDIST_HN,TRPDUR_HN,OZIP,DZIP,HZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORK_PURP,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
69489,69489,34852340203,3485234,2,3,0,2,0,9,6,1,4,0,1.0,9.0,1,17,6.9,17.96,11530,11576,11552,0,2,1,19,11,,1,1,1,1,1,3,3,1,2,4.0,5.0,4,2
69490,69490,34852340204,3485234,2,4,0,2,0,6,21,4,7,0,2.1,9.0,2,12,6.29,15.5,11576,11501,11552,0,2,1,19,11,,1,1,1,1,2,3,3,2,2,3.0,4.0,4,2
69491,69491,34852340205,3485234,2,5,0,2,0,21,5,7,4,0,2.1,9.0,2,7,2.91,10.02,11501,11501,11552,0,2,1,19,11,,1,1,1,1,2,4,4,2,1,2.0,3.0,4,2
69492,69492,34852340206,3485234,2,6,0,2,1,5,3,4,0,0,1.0,9.0,1,7,2.64,10.21,11501,11552,11552,0,2,1,19,11,,1,1,1,1,2,4,4,1,1,2.0,3.0,4,2
73259,73259,35041750202,3504175,2,2,1,2,0,3,9,0,1,10,1.0,9.0,1,20,5.22,12.74,11746,11740,11746,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,3.0,4.0,2,3
73260,73260,35041750203,3504175,2,3,0,2,1,9,3,1,0,0,1.0,9.0,1,20,5.22,12.71,11740,11746,11746,0,2,1,19,11,,1,1,1,1,1,3,3,1,3,3.0,4.0,2,3
73311,73311,35043530102,3504353,1,2,1,3,0,3,9,0,1,0,1.0,9.0,1,35,13.1,27.94,11725,11741,11725,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,5.0,6.0,4,3
73312,73312,35043530103,3504353,1,3,0,3,1,9,3,1,0,0,1.0,9.0,1,30,13.59,25.38,11741,11725,11725,0,2,1,19,11,,1,1,1,1,1,3,3,1,3,5.0,6.0,4,3
73315,73315,35043530202,3504353,2,2,1,3,0,3,9,0,1,0,1.0,9.0,1,20,15.11,20.16,11725,11803,11725,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,5.0,6.0,4,3
73316,73316,35043530203,3504353,2,3,0,3,0,9,10,1,1,0,1.0,9.0,1,2,0.38,0.0,11803,11803,11725,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,1.0,4,3
73317,73317,35043530204,3504353,2,4,0,3,0,10,9,1,1,0,1.0,9.0,1,2,0.38,0.0,11803,11803,11725,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,1.0,1.0,4,3
73318,73318,35043530205,3504353,2,5,0,3,1,9,25,1,9,3,1.0,9.0,1,30,14.9,20.41,11803,11725,11725,0,2,1,19,11,,1,1,1,1,1,2,2,1,3,5.0,6.0,4,3
73665,73665,35057320102,3505732,1,2,1,1,0,3,9,0,1,0,1.0,9.0,1,16,1.74,4.71,11717,11717,11717,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,2.0,3.0,1,1
73666,73666,35057320103,3505732,1,3,0,1,1,9,3,1,0,0,1.0,9.0,1,12,1.74,4.74,11717,11717,11717,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,2.0,3.0,1,1
73842,73842,35062420102,3506242,1,2,1,4,0,3,9,0,1,0,1.0,9.0,1,13,6.25,14.25,11795,11704,11795,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,3.0,4.0,4,2
73843,73843,35062420103,3506242,1,3,0,4,0,9,6,1,4,0,1.0,9.0,1,11,6.03,14.35,11704,11795,11795,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,3.0,4.0,4,2
73844,73844,35062420104,3506242,1,4,0,4,0,6,5,4,4,0,2.1,9.0,3,4,0.76,0.0,11795,11795,11795,0,2,1,19,11,,1,1,1,1,2,2,2,3,1,1.0,2.0,4,2
73845,73845,35062420105,3506242,1,5,0,4,1,5,3,4,0,0,2.1,9.0,2,1,0.76,0.0,11795,11795,11795,0,2,1,19,11,,1,1,1,1,2,2,2,2,1,1.0,1.0,4,2
73849,73849,35062420202,3506242,2,2,1,4,0,3,17,0,5,0,1.0,9.0,1,13,1.44,3.75,11795,11795,11795,0,2,1,19,11,,1,1,1,1,2,1,1,1,2,1.0,2.0,4,2
73850,73850,35062420203,3506242,2,3,0,4,0,17,9,5,1,0,1.0,9.0,1,47,23.93,40.73,11795,11580,11795,0,2,1,19,11,,1,1,1,1,1,1,1,1,4,6.0,6.0,4,2
73851,73851,35062420204,3506242,2,4,0,4,1,9,3,1,0,0,1.0,9.0,1,91,24.99,42.39,11580,11795,11795,0,2,1,19,11,,1,1,1,1,1,3,3,1,5,6.0,6.0,4,2
73935,73935,35063310302,3506331,3,2,1,3,0,3,9,0,1,0,1.0,9.0,1,7,7.07,15.0,11772,11763,11772,0,2,1,19,11,,1,1,1,1,1,1,1,1,1,3.0,4.0,1,3
73936,73936,35063310303,3506331,3,3,0,3,0,9,21,1,7,0,1.0,9.0,1,14,3.52,9.17,11763,11763,11772,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,3.0,4.0,1,3
73937,73937,35063310304,3506331,3,4,0,3,0,21,17,7,5,0,1.0,9.0,1,3,0.93,0.0,11763,11763,11772,0,2,1,19,11,,1,1,1,1,2,2,2,1,1,1.0,1.0,1,3
73938,73938,35063310305,3506331,3,5,0,3,0,17,9,5,1,0,1.0,9.0,1,5,3.52,9.01,11763,11763,11772,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,3.0,4.0,1,3
73939,73939,35063310306,3506331,3,6,0,3,1,9,3,1,0,0,1.0,9.0,1,26,6.87,14.12,11763,11772,11772,0,2,1,19,11,,1,1,1,1,1,3,3,1,3,3.0,4.0,1,3
73981,73981,35064940502,3506494,5,2,1,5,0,3,14,0,1,0,1.0,9.0,1,15,9.7,15.35,11747,11725,11747,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,4.0,5.0,4,3
73982,73982,35064940503,3506494,5,3,0,5,1,14,3,1,0,0,1.0,9.0,1,15,10.1,16.39,11725,11747,11747,0,2,1,19,11,,1,1,1,1,1,3,3,1,2,4.0,5.0,4,3
74006,74006,35067310102,3506731,1,2,1,1,0,3,9,0,1,0,1.0,9.0,1,28,10.11,22.31,11746,11725,11746,0,2,1,19,11,,1,1,1,1,1,1,1,1,3,4.0,5.0,2,2
74007,74007,35067310103,3506731,1,3,0,1,0,9,17,1,5,0,1.0,9.0,1,12,2.1,5.78,11725,11725,11746,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,2.0,3.0,2,2
74008,74008,35067310104,3506731,1,4,0,1,0,17,9,5,1,0,1.0,9.0,1,7,2.1,5.59,11725,11725,11746,0,2,1,19,11,,1,1,1,1,1,2,2,1,1,2.0,3.0,2,2
