,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,PLSAM,SAMPN,PERNO,PLANO,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
3741,3741,101075,101075,36959390303,3695939,3,3,3,20,15.27,0,1,1,9,2
3742,3742,101076,101076,36959390304,3695939,3,4,3,20,14.21,0,1,1,9,2
3743,3743,101077,101077,36959390305,3695939,3,5,3,30,3.27,0,23,1,9,2
3744,3744,101078,101078,36959390306,3695939,3,6,3,30,1.95,0,23,1,9,2
3745,3745,101111,101111,36964130102,3696413,1,2,4,10,3.21,0,19,3,4,2
3746,3746,101112,101112,36964130103,3696413,1,3,4,30,11.43,0,19,1,4,2
3747,3747,101113,101113,36964130105,3696413,1,5,4,20,10.94,0,19,1,4,2
3748,3748,101114,101114,36964130202,3696413,2,2,4,85,34.17,0,19,1,4,2
3749,3749,101115,101115,36964130203,3696413,2,3,4,40,34.2,0,19,1,4,2
3750,3750,101126,101126,36964200202,3696420,2,2,2,10,5.88,0,19,1,4,2
3751,3751,101127,101127,36964200203,3696420,2,3,2,10,5.61,0,19,1,4,2
3752,3752,101160,101160,36965690202,3696569,2,2,2,4,0.51,0,19,1,2,2
3753,3753,101161,101161,36965690203,3696569,2,3,2,8,4.81,0,19,1,2,2
3754,3754,101162,101162,36965690204,3696569,2,4,2,9,4.67,0,19,1,2,2
3755,3755,101198,101198,36968490102,3696849,1,2,5,25,7.28,0,19,1,2,2
3756,3756,101199,101199,36968490103,3696849,1,3,5,7,0.79,0,19,1,2,2
3757,3757,101200,101200,36968490104,3696849,1,4,5,10,0.79,0,19,1,2,2
3758,3758,101201,101201,36968490105,3696849,1,5,5,35,7.28,0,19,1,2,2
3759,3759,101202,101202,36968490202,3696849,2,2,5,20,0.75,0,19,1,2,2
3760,3760,101203,101203,36968490204,3696849,2,4,5,30,0.75,0,19,1,2,2
3761,3761,101292,101292,36970800302,3697080,3,2,3,5,3.81,0,17,2,3,3
3762,3762,101293,101293,36970800303,3697080,3,3,3,5,3.81,0,17,2,3,3
3763,3763,101405,101405,36986060202,3698606,2,2,2,70,21.54,1,19,1,2,2
3764,3764,101407,101407,36986360102,3698636,1,2,1,10,17.72,1,19,1,3,1
